Modulo,Domanda,Opzione,Risposta Corretta
M4 - UD1,Chi tra questi personaggi ha posto le basi degli attuali modelli organizzativi burocratici,Max Weber,VERO
M4 - UD1,Chi tra questi personaggi ha posto le basi degli attuali modelli organizzativi burocratici,Henry Ford,FALSO
M4 - UD1,Chi tra questi personaggi ha posto le basi degli attuali modelli organizzativi burocratici,Adam Smith,FALSO
M4 - UD1,Chi tra questi personaggi ha posto le basi degli attuali modelli organizzativi burocratici,Frederick Taylor,FALSO
M4 - UD1,Chi tra questi personaggi ha posto le basi degli attuali modelli organizzativi burocratici,Peter Drucker,FALSO
M4 - UD1,Chi tra questi personaggi ha posto le basi degli attuali modelli organizzativi burocratici,Alan Turing,FALSO
M4 - UD1,Come si riesce a trasformare il reparto IT da centro di costo a centro di profitto?,Erogando e fatturando servizi IT anche a clienti o filiali esterne,VERO
M4 - UD1,Come si riesce a trasformare il reparto IT da centro di costo a centro di profitto?,Abilitando nuovi modelli di business digitali e canali di ricavo,VERO
M4 - UD1,Come si riesce a trasformare il reparto IT da centro di costo a centro di profitto?,Adottando modelli di Service Level Agreement (SLA) e Chargeback interno,VERO
M4 - UD1,Come si riesce a trasformare il reparto IT da centro di costo a centro di profitto?,Ottimizzando i processi e riducendo gli sprechi con l'automazione,VERO
M4 - UD1,Come si riesce a trasformare il reparto IT da centro di costo a centro di profitto?,Eliminando la gestione ed i controlli di sicurezza informatica,FALSO
M4 - UD1,Come si riesce a trasformare il reparto IT da centro di costo a centro di profitto?,Sospendendo ogni investimento in innovazione e tecnologia,FALSO
M4 - UD1,Compiti del CIO (Chief Information Officer) (Variante),Allineare le scelte tecnologiche alle priorità strategiche d'impresa,VERO
M4 - UD1,Compiti del CIO (Chief Information Officer) (Variante),Guidare i processi di trasformazione digitale e modernizzazione,VERO
M4 - UD1,Compiti del CIO (Chief Information Officer) (Variante),"Selezionare architetture, piattaforme e fornitori di servizi IT",VERO
M4 - UD1,Compiti del CIO (Chief Information Officer) (Variante),Coordinare e far crescere il personale e le competenze del team IT,VERO
M4 - UD1,Compiti del CIO (Chief Information Officer) (Variante),Occuparsi personalmente del posizionamento dei cavi elettrici di rete,FALSO
